de;haeufigkeit;streuung;verdacht;prompt_rang;kapitel_anzahl;kapitel
Fremdlinge;29;0.76;ja;2;22;1. Mose 35|1. Mose 37|2. Mose 23|2. Mose 6|2. Samuel 4|3. Mose 19|3. Mose 25|4. Mose 19|5. Mose 10|5. Mose 24|5. Mose 26|Hesekiel 44|Hesekiel 47|Jeremia 36|Jeremia 41|Jeremia 44|Jeremia 6|Jesaja 56|Jesaja 60|Jesaja 62|Josua 20|Josua 9
Endes;29;0.93;ja;2;27;1. Samuel 15|1. Samuel 25|1. Samuel 28|1. Samuel 29|2. Mose 7|2. Samuel 10|5. Mose 12|5. Mose 28|5. Mose 7|Habakuk 2|Habakuk 3|Haggai 1|Hesekiel 22|Hesekiel 35|Hiob 26|Hosea 10|Hosea 13|Jeremia 15|Jeremia 30|Nahum 1|Nahum 2|Psalmen 51|Sacharja 11|Sacharja 6|Sprüche 13|Sprüche 24|Sprüche 28
Zeugnisse;29;0.34;;2;10;2. Mose 34|5. Mose 6|Nehemia 9|Psalmen 118|Psalmen 119|Psalmen 20|Psalmen 25|Psalmen 28|Psalmen 79|Psalmen 98
Hazor;29;0.28;;2;8;1. Samuel 12|2. Samuel 13|Jeremia 49|Josua 10|Josua 12|Josua 16|Josua 19|Nehemia 11
Abjatar;28;0.29;;2;8;1. Samuel 23|1. Samuel 28|1. Samuel 29|2. Samuel 15|2. Samuel 16|2. Samuel 20|2. Samuel 8|Jeremia 1
Bildad;28;0.21;;2;6;Hiob 18|Hiob 2|Hiob 26|Hiob 4|Hiob 42|Hiob 8
Sulamit;28;0.18;;2;5;Hohelied 1|Hohelied 2|Hohelied 4|Hohelied 6|Hohelied 8
Eingreifen;27;0.85;ja;2;23;1. Mose 23|1. Mose 28|1. Mose 31|2. Mose 15|2. Mose 17|2. Mose 3|2. Mose 4|2. Mose 6|4. Mose 17|Habakuk 3|Jeremia 21|Jesaja 19|Jesaja 42|Jesaja 60|Jesaja 64|Josua 9|Psalmen 102|Psalmen 119|Psalmen 140|Psalmen 34|Psalmen 36|Psalmen 4|Psalmen 79
Kummer;27;0.78;ja;2;21;1. Mose 25|1. Mose 42|1. Mose 45|1. Mose 47|1. Samuel 2|2. Samuel 24|Hiob 18|Hiob 40|Jeremia 21|Jeremia 46|Jeremia 8|Jesaja 35|Jesaja 51|Jesaja 56|Psalmen 107|Psalmen 116|Psalmen 13|Psalmen 85|Sprüche 10|Sprüche 14|Sprüche 18
Bethlehem;27;0.52;;2;14;1. Mose 35|1. Samuel 10|1. Samuel 15|1. Samuel 17|1. Samuel 2|1. Samuel 20|1. Samuel 21|2. Samuel 24|2. Samuel 3|2. Samuel 4|Jeremia 31|Jeremia 41|Jeremia 5|Josua 19
Korahs;27;0.41;;2;11;2. Mose 6|4. Mose 15|4. Mose 17|4. Mose 20|4. Mose 25|4. Mose 26|Josua 8|Psalmen 42|Psalmen 45|Psalmen 48|Psalmen 85
Asahel;27;0.15;;2;4;2. Samuel 2|2. Samuel 24|2. Samuel 3|2. Samuel 4
Simei;26;0.31;;2;8;1. Samuel 2|1. Samuel 31|2. Mose 6|2. Samuel 16|2. Samuel 19|2. Samuel 20|4. Mose 2|Sacharja 13
Anstatt;26;0.96;ja;2;25;1. Samuel 15|1. Samuel 4|2. Samuel 14|2. Samuel 2|2. Samuel 24|3. Mose 17|3. Mose 9|4. Mose 17|4. Mose 20|5. Mose 18|Hesekiel 4|Hiob 2|Hosea 7|Jesaja 1|Jesaja 19|Jesaja 21|Jesaja 3|Jesaja 41|Jesaja 56|Joel 1|Maleachi 1|Maleachi 2|Nehemia 6|Psalmen 78|Psalmen 82
Achimelech;26;0.15;;2;4;1. Samuel 21|1. Samuel 23|1. Samuel 26|2. Samuel 8
Hananja;26;0.23;;2;6;Jeremia 28|Jeremia 30|Nehemia 11|Nehemia 12|Nehemia 3|Nehemia 9
Asaph;26;0.31;;2;8;Nehemia 2|Psalmen 50|Psalmen 73|Psalmen 74|Psalmen 75|Psalmen 78|Psalmen 79|Psalmen 82
Persien;25;0.76;ja;2;19;1. Mose 12|1. Mose 2|1. Samuel 14|2. Mose 17|Haggai 1|Hesekiel 37|Jeremia 49|Jeremia 50|Jeremia 51|Jesaja 13|Jesaja 41|Jesaja 42|Jesaja 44|Maleachi 1|Nehemia 1|Nehemia 12|Nehemia 2|Nehemia 6|Sacharja 8
Generationen;25;0.84;ja;2;21;1. Mose 32|1. Mose 4|1. Mose 50|2. Mose 10|2. Mose 13|2. Mose 16|2. Mose 9|2. Samuel 1|5. Mose 10|5. Mose 26|5. Mose 6|5. Mose 7|Hiob 8|Hosea 4|Jeremia 3|Jesaja 30|Joel 1|Nehemia 11|Psalmen 102|Psalmen 78|Psalmen 89
Tarsis;25;0.4;;2;10;1. Mose 9|Hesekiel 27|Hesekiel 38|Jeremia 10|Jesaja 23|Jesaja 66|Jona 1|Jona 3|Psalmen 48|Psalmen 72
Gaza;25;0.56;;2;14;1. Mose 10|1. Samuel 2|1. Samuel 4|1. Samuel 6|1. Samuel 7|2. Samuel 11|2. Samuel 21|5. Mose 2|Jeremia 26|Jeremia 46|Josua 10|Josua 12|Josua 16|Sacharja 9
Versöhnungstag;25;0.48;;2;12;2. Mose 29|3. Mose 11|3. Mose 16|3. Mose 17|3. Mose 22|3. Mose 23|3. Mose 3|4. Mose 28|Hesekiel 40|Hesekiel 45|Psalmen 82|Sacharja 7
Geba;25;0.48;;2;12;1. Samuel 10|1. Samuel 12|1. Samuel 14|1. Samuel 2|1. Samuel 6|2. Samuel 5|Jesaja 11|Josua 19|Josua 21|Nehemia 11|Nehemia 12|Sacharja 14
Ziba;25;0.12;;2;3;2. Samuel 16|2. Samuel 19|2. Samuel 8
Zophar;25;0.28;;2;7;Hiob 10|Hiob 13|Hiob 2|Hiob 20|Hiob 26|Hiob 4|Hiob 42
Hintergrund;24;0.92;ja;2;22;1. Mose 9|1. Samuel 9|2. Mose 6|Hesekiel 21|Hesekiel 40|Hohelied 2|Hohelied 6|Hohelied 8|Hosea 4|Jeremia 31|Jesaja 30|Joel 1|Maleachi 1|Psalmen 107|Psalmen 122|Psalmen 147|Psalmen 58|Psalmen 62|Psalmen 65|Psalmen 91|Sacharja 14|Sacharja 5
Lots;24;0.42;;2;10;1. Mose 14|1. Mose 18|1. Mose 19|1. Mose 20|1. Samuel 10|5. Mose 1|5. Mose 2|5. Mose 29|Nehemia 13|Psalmen 82
Vergehen;24;0.67;;2;16;1. Mose 25|1. Mose 28|1. Mose 31|1. Samuel 2|2. Samuel 3|3. Mose 19|3. Mose 20|3. Mose 25|3. Mose 4|3. Mose 6|5. Mose 28|Hiob 13|Hiob 31|Hiob 33|Psalmen 31|Psalmen 50
Dagon;24;0.17;;2;4;1. Mose 31|1. Samuel 4|1. Samuel 6|Jona 1
Trauben;24;0.58;;2;14;1. Mose 40|3. Mose 25|4. Mose 13|4. Mose 6|5. Mose 23|5. Mose 32|Hesekiel 18|Hiob 15|Hohelied 8|Hosea 10|Jeremia 31|Jeremia 8|Jesaja 3|Nehemia 12
Webopfer;24;0.42;;2;10;2. Mose 29|3. Mose 11|3. Mose 14|3. Mose 23|3. Mose 7|3. Mose 8|3. Mose 9|4. Mose 6|4. Mose 7|4. Mose 9
Bathseba;24;0.33;;2;8;1. Samuel 16|2. Samuel 11|2. Samuel 12|2. Samuel 13|2. Samuel 7|Psalmen 31|Psalmen 50|Sprüche 3
Abigail;24;0.25;;2;6;1. Samuel 25|1. Samuel 28|1. Samuel 29|2. Samuel 18|2. Samuel 3|Sprüche 18
Satans;23;0.48;;2;11;1. Mose 3|1. Mose 6|1. Samuel 16|Hesekiel 27|Hesekiel 29|Hiob 1|Hiob 42|Jesaja 14|Jesaja 60|Psalmen 82|Sacharja 3
Mord;23;0.83;ja;2;19;1. Mose 28|1. Mose 34|1. Mose 37|1. Mose 4|2. Mose 1|2. Mose 21|2. Samuel 11|2. Samuel 12|2. Samuel 3|2. Samuel 4|4. Mose 35|5. Mose 13|Hiob 23|Jeremia 12|Jeremia 41|Jeremia 5|Jeremia 50|Jesaja 2|Psalmen 50
Elam;23;0.35;;2;8;1. Mose 10|1. Mose 14|Hesekiel 32|Jeremia 26|Jeremia 49|Jesaja 11|Nehemia 12|Nehemia 9
Fürbitte;23;0.65;;2;15;1. Mose 18|1. Mose 20|1. Mose 50|2. Mose 17|2. Mose 31|4. Mose 14|5. Mose 10|5. Mose 18|5. Mose 9|Hesekiel 14|Jeremia 12|Jeremia 15|Jeremia 28|Jeremia 6|Jesaja 37
Führungspersonen;23;0.91;ja;2;21;2. Mose 19|4. Mose 1|4. Mose 13|Hesekiel 10|Hesekiel 14|Hesekiel 33|Hesekiel 45|Hesekiel 8|Jesaja 3|Jesaja 31|Jesaja 37|Jesaja 41|Jesaja 49|Jesaja 52|Jesaja 56|Josua 24|Nehemia 4|Nehemia 9|Psalmen 69|Psalmen 75|Psalmen 82
Lachis;23;0.35;;2;8;Jeremia 34|Jesaja 35|Jesaja 37|Josua 10|Josua 12|Josua 16|Josua 9|Nehemia 11
Ziklag;23;0.35;;2;8;1. Samuel 28|1. Samuel 29|1. Samuel 31|2. Samuel 1|2. Samuel 4|Josua 16|Josua 19|Nehemia 11
Kehila;23;0.13;;2;3;1. Samuel 23|Josua 16|Nehemia 3
Nebo;22;0.41;;2;9;1. Mose 31|1. Mose 8|4. Mose 26|4. Mose 32|4. Mose 33|5. Mose 32|5. Mose 33|Jesaja 14|Jesaja 46
Zoan;22;0.32;;2;7;1. Mose 12|1. Mose 47|4. Mose 13|Hesekiel 30|Jesaja 19|Jesaja 30|Psalmen 78
Paran;22;0.45;;2;10;1. Mose 21|1. Samuel 25|2. Mose 1|2. Mose 12|4. Mose 13|4. Mose 19|4. Mose 33|4. Mose 9|5. Mose 1|5. Mose 33
Beide;22;0.55;;2;12;1. Mose 30|1. Mose 40|1. Mose 49|1. Samuel 1|2. Samuel 24|2. Samuel 3|3. Mose 6|Hesekiel 37|Jesaja 2|Sprüche 10|Sprüche 20|Sprüche 31
Brand;22;1.0;ja;2;22;1. Samuel 14|2. Mose 21|2. Samuel 15|3. Mose 1|3. Mose 23|3. Mose 6|3. Mose 9|4. Mose 14|4. Mose 17|5. Mose 28|Hesekiel 40|Hiob 1|Jeremia 51|Jesaja 10|Jesaja 42|Josua 8|Psalmen 102|Psalmen 38|Psalmen 7|Psalmen 74|Sprüche 16|Sprüche 6
Weinberge;22;0.86;ja;2;19;1. Samuel 21|1. Samuel 23|1. Samuel 9|4. Mose 15|4. Mose 20|5. Mose 28|5. Mose 6|Hesekiel 29|Hohelied 1|Hohelied 2|Hosea 2|Jeremia 31|Jeremia 32|Jesaja 38|Jesaja 65|Nahum 2|Nehemia 4|Nehemia 6|Psalmen 107
Husai;22;0.14;;2;3;2. Samuel 15|2. Samuel 16|2. Samuel 18
Sanballat;22;0.18;;2;4;Nehemia 13|Nehemia 2|Nehemia 4|Nehemia 6
Mesopotamien;21;0.76;ja;2;16;1. Mose 1|1. Mose 12|1. Mose 14|1. Mose 2|1. Mose 23|1. Mose 25|1. Mose 30|1. Mose 31|2. Mose 24|5. Mose 26|Hesekiel 27|Jesaja 16|Jesaja 37|Jesaja 60|Nehemia 2|Psalmen 58
Ammon;21;0.67;;2;14;1. Mose 20|1. Mose 49|1. Samuel 14|2. Samuel 11|Hesekiel 21|Hesekiel 22|Hesekiel 24|Hesekiel 26|Jeremia 48|Jeremia 49|Maleachi 1|Nehemia 13|Psalmen 82|Sacharja 3
Kahat;21;0.24;;2;5;1. Mose 45|2. Mose 6|4. Mose 2|4. Mose 26|4. Mose 3
Nadab;21;0.43;;2;9;2. Mose 24|2. Mose 27|2. Mose 31|2. Mose 6|3. Mose 23|3. Mose 9|4. Mose 2|4. Mose 26|Haggai 2
Erbteils;21;0.62;;2;13;2. Mose 15|4. Mose 35|5. Mose 18|5. Mose 32|Jeremia 10|Jeremia 51|Jesaja 64|Joel 2|Josua 16|Josua 19|Josua 22|Josua 24|Psalmen 74
Kleidern;21;0.67;;2;14;1. Samuel 20|2. Mose 29|2. Mose 40|2. Samuel 1|2. Samuel 14|2. Samuel 15|3. Mose 14|4. Mose 15|Hesekiel 16|Hesekiel 45|Jesaja 37|Jesaja 64|Josua 22|Psalmen 45
Wolle;21;0.57;;2;12;3. Mose 14|5. Mose 22|Hesekiel 27|Hesekiel 33|Hesekiel 44|Hesekiel 45|Hiob 31|Hosea 2|Jesaja 2|Jesaja 51|Psalmen 147|Sprüche 31
Anatot;21;0.38;;2;8;Jeremia 1|Jeremia 12|Jeremia 30|Jeremia 32|Jesaja 11|Josua 21|Nehemia 11|Nehemia 9
Mundes;21;0.71;;2;15;Hiob 15|Hiob 23|Hiob 8|Hohelied 1|Hosea 7|Jeremia 10|Jesaja 11|Psalmen 119|Psalmen 137|Psalmen 36|Psalmen 58|Psalmen 78|Sprüche 18|Sprüche 4|Sprüche 7
Jojachin;21;0.48;;2;10;Haggai 1|Haggai 2|Hesekiel 1|Hesekiel 12|Hesekiel 16|Hesekiel 20|Jeremia 13|Jeremia 23|Jeremia 37|Jeremia 52
Eljaschib;21;0.19;;2;4;Nehemia 11|Nehemia 12|Nehemia 3|Nehemia 6
Bedingungen;20;0.9;ja;1;18;1. Mose 12|1. Mose 30|1. Mose 6|1. Mose 9|1. Samuel 15|1. Samuel 17|2. Mose 19|2. Mose 32|3. Mose 26|5. Mose 26|5. Mose 29|Jona 3|Josua 2|Maleachi 1|Nehemia 4|Psalmen 38|Psalmen 89|Sprüche 4
Gefangene;20;0.85;ja;1;17;1. Mose 14|1. Mose 40|2. Mose 1|4. Mose 20|Habakuk 1|Hesekiel 16|Jeremia 24|Jeremia 28|Jeremia 49|Jesaja 14|Jesaja 24|Jesaja 44|Jesaja 49|Jesaja 52|Nahum 2|Psalmen 68|Sacharja 9
Sorgen;20;0.8;ja;1;16;1. Mose 34|1. Mose 35|1. Mose 45|1. Mose 47|1. Samuel 10|1. Samuel 9|2. Samuel 13|Hesekiel 12|Hesekiel 4|Hiob 13|Jeremia 15|Jesaja 52|Jesaja 65|Psalmen 13|Psalmen 69|Psalmen 89
Jethro;20;0.15;;1;3;2. Mose 17|2. Mose 19|2. Mose 4
Agag;20;0.3;;1;6;1. Samuel 10|1. Samuel 14|1. Samuel 15|2. Mose 17|4. Mose 23|Hesekiel 37
Aroer;20;0.4;;1;8;1. Samuel 31|2. Samuel 24|4. Mose 32|5. Mose 2|5. Mose 4|Jesaja 16|Josua 12|Josua 14
Rahab;20;0.35;;1;7;Hesekiel 29|Hiob 26|Jesaja 30|Jesaja 51|Josua 2|Josua 6|Psalmen 89
Jabes;20;0.1;;1;2;1. Samuel 10|1. Samuel 31
Josias;20;0.55;;1;11;Hesekiel 16|Jeremia 1|Jeremia 21|Jeremia 23|Jeremia 24|Jeremia 26|Jeremia 34|Jeremia 36|Jeremia 37|Jeremia 46|Sacharja 6
Schemaja;20;0.35;;1;7;Jeremia 30|Nehemia 11|Nehemia 12|Nehemia 3|Nehemia 4|Nehemia 6|Nehemia 9
Abel;19;0.21;;1;4;1. Mose 4|1. Mose 49|1. Samuel 7|2. Samuel 20
Geduld;19;0.74;;1;14;1. Mose 23|1. Mose 6|1. Samuel 16|2. Samuel 16|Hesekiel 1|Hesekiel 38|Hesekiel 6|Jesaja 58|Maleachi 2|Maleachi 3|Nehemia 9|Psalmen 128|Sacharja 11|Sprüche 24
Zoar;19;0.32;;1;6;1. Mose 14|1. Mose 20|2. Samuel 11|4. Mose 33|5. Mose 33|Jeremia 48
Genezareth;19;0.53;;1;10;1. Mose 32|1. Mose 48|4. Mose 34|Hesekiel 27|Hesekiel 47|Josua 10|Josua 12|Josua 14|Josua 17|Josua 19
Befehle;19;0.26;;1;5;1. Mose 49|Hesekiel 1|Jeremia 36|Jesaja 62|Psalmen 119
Ysop;19;0.26;;1;5;2. Mose 12|3. Mose 14|3. Mose 15|4. Mose 19|Psalmen 51
Sept;19;0.58;;1;11;1. Samuel 1|3. Mose 22|3. Mose 23|Haggai 1|Hesekiel 1|Hesekiel 46|Nehemia 1|Nehemia 6|Nehemia 7|Nehemia 9|Psalmen 82
Siege;19;0.84;ja;1;16;1. Samuel 29|1. Samuel 31|1. Samuel 9|2. Samuel 22|5. Mose 32|Jesaja 30|Jesaja 54|Josua 10|Josua 12|Nehemia 4|Psalmen 107|Psalmen 18|Psalmen 20|Psalmen 42|Psalmen 45|Psalmen 82
Michmas;19;0.21;;1;4;1. Samuel 12|1. Samuel 14|Jesaja 11|Nehemia 11
Zoba;19;0.26;;1;5;1. Samuel 14|2. Samuel 10|2. Samuel 24|2. Samuel 8|Psalmen 58
Jonadab;19;0.16;;1;3;2. Samuel 13|2. Samuel 14|Jeremia 36
Saba;19;0.42;;1;8;Hesekiel 27|Hesekiel 38|Hiob 2|Hiob 6|Jeremia 6|Jesaja 43|Jesaja 60|Psalmen 72
Hams;18;0.33;;1;6;1. Mose 10|1. Mose 9|Nahum 2|Psalmen 105|Psalmen 106|Psalmen 79
Scheba;18;0.5;;1;9;1. Mose 10|1. Mose 24|1. Mose 27|1. Mose 9|1. Samuel 2|1. Samuel 31|2. Samuel 20|2. Samuel 8|Josua 19
Mamre;18;0.44;;1;8;1. Mose 14|1. Mose 15|1. Mose 17|1. Mose 23|1. Mose 25|1. Mose 35|1. Mose 49|1. Mose 50
Sukkot;18;0.39;;1;7;1. Mose 32|1. Mose 34|2. Mose 12|2. Mose 13|2. Mose 16|4. Mose 32|Josua 14
Ramses;18;0.28;;1;5;1. Mose 47|2. Mose 1|2. Mose 12|2. Mose 16|4. Mose 32
Ketten;18;0.56;;1;10;2. Mose 28|2. Mose 38|2. Mose 39|2. Samuel 4|Hesekiel 8|Jeremia 2|Jeremia 39|Jeremia 52|Jesaja 51|Nahum 2
Libna;18;0.44;;1;8;4. Mose 32|Jeremia 52|Jesaja 37|Josua 10|Josua 12|Josua 16|Josua 21|Josua 9
Demut;18;0.89;ja;1;16;1. Samuel 10|1. Samuel 16|1. Samuel 9|2. Samuel 19|2. Samuel 7|5. Mose 18|5. Mose 7|Hiob 40|Hosea 4|Jesaja 33|Jesaja 58|Jesaja 7|Sprüche 16|Sprüche 18|Sprüche 21|Sprüche 7
Abfall;18;0.72;;1;13;1. Samuel 7|5. Mose 13|5. Mose 28|5. Mose 31|5. Mose 32|Hesekiel 6|Hosea 10|Jeremia 19|Jeremia 2|Jeremia 31|Jesaja 1|Psalmen 78|Sacharja 11
Belial;18;0.11;;1;2;2. Samuel 22|5. Mose 13
Ebal;17;0.47;;1;8;1. Mose 12|1. Mose 34|1. Mose 35|1. Mose 8|5. Mose 12|5. Mose 26|Josua 8|Josua 9
Tabor;17;0.41;;1;7;1. Mose 8|1. Samuel 10|1. Samuel 28|Hosea 4|Jeremia 46|Josua 19|Psalmen 89
Merari;17;0.29;;1;5;2. Mose 6|4. Mose 2|4. Mose 26|4. Mose 3|4. Mose 4
Abihu;17;0.53;;1;9;2. Mose 24|2. Mose 27|2. Mose 31|2. Mose 6|3. Mose 23|3. Mose 9|4. Mose 2|4. Mose 26|Haggai 2
Elkana;17;0.18;;1;3;1. Samuel 1|1. Samuel 2|2. Mose 6
Akazienholz;17;0.41;;1;7;2. Mose 24|2. Mose 26|2. Mose 27|2. Mose 29|2. Mose 34|2. Mose 36|5. Mose 10
Ehrfurcht;17;0.76;ja;1;13;1. Samuel 12|2. Mose 28|2. Samuel 7|3. Mose 16|3. Mose 19|3. Mose 9|5. Mose 10|Hiob 40|Jona 3|Maleachi 1|Maleachi 2|Psalmen 119|Psalmen 4
Mehl;17;0.59;;1;10;1. Samuel 2|1. Samuel 29|2. Samuel 18|3. Mose 1|3. Mose 13|3. Mose 23|3. Mose 3|3. Mose 4|Hosea 7|Jesaja 46
Getränk;17;0.59;;1;10;3. Mose 11|3. Mose 9|4. Mose 28|4. Mose 6|5. Mose 15|5. Mose 29|Jesaja 5|Sprüche 20|Sprüche 23|Sprüche 31
Feigen;17;0.35;;1;6;4. Mose 13|Jeremia 24|Jeremia 30|Jeremia 8|Jesaja 27|Nehemia 12
Beth-Awen;17;0.35;;1;6;1. Samuel 12|1. Samuel 14|Hosea 10|Hosea 4|Josua 19|Josua 6
Assur;16;0.5;;1;8;1. Mose 10|1. Mose 2|1. Mose 25|1. Mose 9|Jona 1|Nehemia 9|Psalmen 106|Psalmen 82
Gilboa;16;0.56;;1;9;1. Mose 8|1. Samuel 12|1. Samuel 20|1. Samuel 28|1. Samuel 29|1. Samuel 31|1. Samuel 6|2. Samuel 1|2. Samuel 21
Tubal;16;0.38;;1;6;1. Mose 9|Hesekiel 27|Hesekiel 32|Hesekiel 37|Hesekiel 39|Jesaja 66
Gerar;16;0.31;;1;5;1. Mose 10|1. Mose 12|1. Mose 20|1. Mose 25|1. Mose 27
Umständen;16;1.0;ja;1;16;1. Mose 12|1. Mose 40|1. Samuel 21|2. Mose 16|2. Mose 4|3. Mose 20|4. Mose 14|5. Mose 15|Hiob 2|Jesaja 2|Jesaja 27|Jesaja 46|Jesaja 52|Nehemia 4|Psalmen 140|Psalmen 55
Ephron;16;0.31;;1;5;1. Mose 23|1. Mose 25|1. Mose 49|1. Mose 50|Josua 14
Beziehungen;16;0.88;ja;1;14;1. Mose 34|2. Mose 17|2. Samuel 13|2. Samuel 7|2. Samuel 8|4. Mose 5|5. Mose 18|5. Mose 22|5. Mose 4|Hiob 31|Hosea 4|Jesaja 52|Psalmen 58|Sprüche 18
Bösem;16;0.88;ja;1;14;1. Mose 44|1. Samuel 25|Hiob 33|Jeremia 19|Psalmen 34|Psalmen 36|Psalmen 38|Psalmen 51|Psalmen 7|Sprüche 11|Sprüche 13|Sprüche 14|Sprüche 18|Sprüche 6
Gerson;16;0.38;;1;6;1. Mose 45|2. Mose 6|4. Mose 2|4. Mose 26|4. Mose 3|4. Mose 4
Kämpfer;16;0.88;ja;1;14;1. Mose 49|2. Samuel 2|2. Samuel 24|2. Samuel 4|4. Mose 32|5. Mose 31|Hesekiel 23|Jesaja 1|Jesaja 10|Psalmen 34|Psalmen 38|Psalmen 45|Psalmen 7|Sacharja 13
Itamar;16;0.44;;1;7;2. Mose 27|2. Mose 6|2. Samuel 8|3. Mose 11|3. Mose 9|4. Mose 2|4. Mose 26
Abib;16;0.62;;1;10;2. Mose 12|2. Mose 13|2. Mose 23|2. Mose 34|5. Mose 15|5. Mose 16|5. Mose 18|Hesekiel 3|Hesekiel 45|Josua 4
Zinsen;16;0.5;;1;8;2. Mose 23|3. Mose 25|5. Mose 23|5. Mose 24|Habakuk 2|Hesekiel 18|Nehemia 4|Nehemia 6
Adullam;16;0.44;;1;7;1. Samuel 21|1. Samuel 23|2. Samuel 21|2. Samuel 24|Josua 12|Josua 16|Nehemia 11
Barsillai;16;0.19;;1;3;2. Samuel 18|2. Samuel 19|2. Samuel 21
Eljakim;16;0.31;;1;5;Jesaja 21|Jesaja 23|Jesaja 35|Jesaja 37|Nehemia 12
Schebna;16;0.19;;1;3;Jesaja 23|Jesaja 35|Jesaja 37
Alexander;16;0.25;;1;4;Hesekiel 29|Jesaja 23|Sacharja 8|Sacharja 9
Darius;16;0.56;;1;9;Haggai 1|Haggai 2|Jeremia 49|Jesaja 48|Nehemia 12|Sacharja 1|Sacharja 3|Sacharja 6|Sacharja 7
Meschullam;16;0.38;;1;6;Nehemia 11|Nehemia 12|Nehemia 3|Nehemia 6|Nehemia 7|Nehemia 9
Äthiopien;15;0.73;;1;11;1. Mose 2|Hesekiel 29|Hesekiel 30|Hesekiel 37|Jesaja 16|Jesaja 21|Jesaja 37|Jesaja 43|Jesaja 54|Nahum 2|Psalmen 119
Disteln;15;0.53;;1;8;1. Mose 3|Hesekiel 3|Hosea 10|Jesaja 10|Jesaja 27|Jesaja 33|Jesaja 35|Jesaja 8
Mesech;15;0.4;;1;6;1. Mose 9|Hesekiel 27|Hesekiel 32|Hesekiel 37|Hesekiel 39|Psalmen 119
Kadesch-Barnea;15;0.73;;1;11;1. Mose 12|1. Mose 24|2. Mose 1|2. Mose 12|2. Samuel 11|4. Mose 33|4. Mose 34|5. Mose 1|5. Mose 9|Josua 14|Psalmen 28
Arabien;15;0.47;;1;7;1. Mose 21|2. Mose 24|Hesekiel 27|Hiob 2|Jesaja 21|Jesaja 60|Joel 4
Ziegen;15;0.73;;1;11;1. Mose 27|1. Mose 30|1. Mose 31|1. Mose 32|1. Samuel 20|1. Samuel 25|2. Mose 25|3. Mose 1|3. Mose 3|3. Mose 4|3. Mose 7
Respekt;15;0.93;ja;1;14;1. Mose 28|1. Mose 34|1. Mose 40|1. Mose 50|2. Mose 10|2. Mose 20|2. Samuel 19|5. Mose 12|Jeremia 13|Jesaja 52|Nehemia 2|Nehemia 7|Sprüche 16|Sprüche 30
Mahanajim;15;0.47;;1;7;1. Mose 32|2. Samuel 18|2. Samuel 19|2. Samuel 2|2. Samuel 3|Josua 14|Josua 22
Serach;15;0.33;;1;5;1. Mose 35|1. Mose 38|1. Mose 45|1. Mose 47|4. Mose 26
Bozra;15;0.4;;1;6;1. Mose 37|2. Samuel 11|Jeremia 48|Jeremia 49|Jesaja 35|Jesaja 62
Leibes;15;0.73;;1;11;1. Mose 37|5. Mose 28|5. Mose 30|5. Mose 7|Hiob 18|Hiob 4|Jesaja 2|Jesaja 48|Sprüche 14|Sprüche 26|Sprüche 31
Praktiken;15;0.73;;1;11;2. Mose 7|3. Mose 19|5. Mose 13|5. Mose 18|5. Mose 7|Hesekiel 16|Hesekiel 8|Jesaja 1|Jesaja 48|Maleachi 3|Sacharja 13
Meriba;15;0.67;;1;10;2. Mose 16|2. Mose 17|4. Mose 20|5. Mose 31|5. Mose 33|Psalmen 106|Psalmen 112|Psalmen 118|Psalmen 82|Psalmen 95
Wucher;15;0.33;;1;5;2. Mose 23|3. Mose 25|Hesekiel 18|Hesekiel 22|Nehemia 4
Oliven;15;0.67;;1;10;2. Mose 27|2. Mose 29|3. Mose 23|4. Mose 28|5. Mose 24|5. Mose 28|Jesaja 16|Jesaja 2|Jesaja 24|Josua 6
Widdern;15;0.53;;1;8;1. Samuel 15|2. Mose 28|4. Mose 28|Hesekiel 27|Hesekiel 35|Jesaja 1|Jesaja 2|Psalmen 65
Klauen;15;0.27;;1;4;3. Mose 11|5. Mose 13|Hesekiel 32|Sacharja 11
Symbole;15;0.93;ja;1;14;3. Mose 16|5. Mose 33|Hesekiel 1|Hesekiel 35|Hesekiel 37|Hesekiel 38|Hesekiel 40|Jesaja 54|Psalmen 45|Psalmen 98|Sacharja 1|Sacharja 13|Sacharja 3|Sprüche 6
Schwierigkeiten;15;0.93;ja;1;14;1. Samuel 6|2. Samuel 19|2. Samuel 8|3. Mose 25|5. Mose 32|Haggai 1|Hiob 36|Hiob 38|Hohelied 8|Jeremia 30|Sacharja 1|Sprüche 1|Sprüche 18|Sprüche 26
Eliab;15;0.4;;1;6;1. Samuel 15|1. Samuel 17|4. Mose 1|4. Mose 25|4. Mose 6|4. Mose 9
Jaeser;15;0.33;;1;5;2. Samuel 24|4. Mose 32|Jeremia 48|Josua 14|Josua 22
Aphek;15;0.33;;1;5;1. Samuel 2|1. Samuel 29|1. Samuel 4|Josua 12|Josua 19
Beth-Schemesch;15;0.4;;1;6;1. Samuel 6|1. Samuel 7|Jeremia 44|Josua 14|Josua 19|Josua 21
Siph;15;0.2;;1;3;1. Samuel 23|1. Samuel 26|Josua 16
Kebar;15;0.33;;1;5;Hesekiel 1|Hesekiel 10|Hesekiel 3|Hesekiel 4|Hesekiel 42
Sinear;14;0.36;;1;5;1. Mose 11|1. Mose 14|1. Mose 9|Josua 8|Sacharja 5
